,ID,Фамилия,Имя,Отчество,Организация,Аффилиации,Город
6228,10454,Славгородская,Елена,Львовна,ИПУ РАН,,Москва
6229,46980,Ду,Цзяньмин,Нет,МГТУ им. Н.Э. Баумана,,Москва
6230,46962,Мягков,Михаил,Георгиевич,ТГУ,,
6231,46961,Марченко,Артемий,Максимович,МФТИ,,
6232,46960,Утешев,Иван ,Александрович,МФТИ,,
6233,46959,Осипов,Степан ,Дмитриевич,МФТИ,,
6234,46958,Норкин,Дмитрий,Олегович,МФТИ,,
6235,46945,Соловьев,Алексей,Сергеевич,МОКБ &quot;МАРС&quot;,,Москва
6236,46920,Рыков,Юрий,Германович,ИПМ РАН,,
6237,46917,Макеев,Вадим,Витальевич,ЦВК Экспоцентр,,Москва
6238,46911,Чернышёв,Лев,Николаевич,-,,
6239,46883, Yau, Shing-Tung,-, Harvard University,,
6240,46882,Хименес,Роландо,-,Instituto de Matematicas,,Oaxaca
6241,46878,Зарецкая ,Марина,Валерьевна,Кубанский государственный университет,,Краснодар
6242,46856,Буй,Зуи,Тан,Московский физико-технический институт,,Москва
6287,46783,Bessonova,Natalia,A.,РУДН,,Москва
6288,46776,Левченко,А.,В.,Институт проблем химической физики РАН,,
6289,46775,Ященок,А.,М.,Сколтех,,
6290,46774,Горин,Д.,А.,Сколтех,,
6292,46772,Тетерюков,Д.,О.,Сколтех,,
6293,46771,Миронов,Е.,Г.,Сколтех,,
6294,46770,Федулов,Б.,Н.,Сколтех,,
6295,46769,Панков,В.,В.,ГНЦ ФГУП &quot;Центральный аэродинамический институт им. проф. Н.Е. Жуковского&quot;,,
6297,46767,Панин,А.,В.,Институт физики прочности и материаловедения СО РАН,,
6298,46766,Дубинский,С.,В.,ФГУП &quot;Центральный аэродинамический институт им. проф. Н.Е. Жуковского&quot;,,
6299,46765,Бернштейн,А.,В.,Сколтех,,
6301,728,Томфельд,Юлий,Леонидович,ИПУ РАН,,Москва
6303,49,Анулова,Светлана,Владимировна,ИПУ РАН,,Москва
6305,46740,Романова,Юлия,Александровна,Институт проблем рынка РАН ,,Москва
6306,46739,Трачук,Аркадий,Владимирович,Финансовый Университет при Правительстве РФ,,Москва
6307,46737,Борталевич,Виталия,Юрьевна,Национальный институт энергетической безопасности,,
6308,46736,Чернов,Александр,Владимирович,РУДН,,Москва
6309,46735,Логинова ,Валерия,Евгеньевна,Институт проблем рынка РАН ,,Москва
6310,46734,Зоидов,Кобилжон  ,Ходжиевич,Институт проблем рынка РАН ,,Москва
6311,46727,Прихожденко,Екатерина,Сергеевна,ФГБОУ ВО &quot;Саратовский национальный исследовательский государственный университет им. Н.Г. Чернышевского&quot;,,
6312,46726,Скибина,Юлия,Сергеевна,ФГБОУ ВО &quot;Саратовский национальный исследовательский государственный университет им. Н.Г. Чернышевского&quot;,,
6313,46725,Грязнов,Николай,Анатольевич,ФГАНУ &quot;Центральный научно-исследовательский и опытно-конструкторский институт робототехники и технической кибернетики&quot;,,
6314,46724,Павлов,Артем,Леонидович,Сколтех,,
6315,46722,Абаимов,Сергей,Германович,Сколтех,,
6316,46721,Сергеевич,Вадим,Владимирович,Сколтех,,
6317,46720,Афанасьев,Александр,Леонидович,?,,
6318,46719,Ступников,Вадим ,Владимирович,Сколтех,,
6319,46718,Шахова,Ярослава ,Эдуардовна,Сколтех,,
6320,46717,Буякова,Светлана,Петровна,Институт физики прочности и материаловедения СО РАН,,
6321,46716,Погосова ,Мариам,Александровна,Сколтех,,
6322,46715,Сафонов,Александр ,Александрович,Скотех,,
6324,46713,Бурнаев,Евгений,Владимирович,Сколтех,,
6325,46712,Киселев,Евгений,Андреевич,Межведомственный суперкомпьютерный центр РАН,,
6326,46711,Баранов,Антон,Викторич,Межведомственный суперкомпьютерный центр РАН,,
6327,46710,Воробьев,Илья,Николаевич,ООО &quot;Новатест&quot;,,
6328,46709,Дорожкин,Павел,Сергеевич,Сколтех,,
6329,46708,Руденский,Геннадий,Евгеньевич,Сколтех,,
6330,46675,Kolev,Nikolai,.,"University of Sao Paulo, Institute of Mathematics and Statistics",,Сан Пауло
6332,46634,Ушаков,Андрей,Евгеньевич,Сколтех,,Москва
6333,46633,Лернер,Марат,Израилевич,ИФПМ СО РАН,,Москва
6334,46632,Пономарев ,Алексей,Константинович,Сколтех,,Москва
6335,46630,Азарми,Фардад,А.,Сколтех,,Москва
6337,46624,Ахатов ,И.,Ш. ,Сколтех,,
6338,46623,Аладышев,Олег,Сергеевич,Сколтех,,Москва
6339,46622,Ужинский,Игорь,Константинович,Сколтех,,Москва
6340,46621,Астахов,Андрей,Витальевич,Московский авиационный институт,,Москва
6341,46620,Степаненко,Антон,Павлович,Московский авиационный институт,,Москва
6345,698,Суконнова,Анастасия,Анатольевна,ИПУ РАН,,Москва
6347,13347,Миненок,Александр,Евгеньевич,ИПУ РАН,,Москва
6348,80,Барбашев,Михаил,Петрович,ИПУ РАН,,Москва
6349,191,Горбунов,Артур,Валерьевич,ИПУ РАН,,Москва
6351,153,Волковицкий,Андрей,Кириллович,ИПУ РАН,"2019;Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation",Москва
6354,733,Точ,Дмитрий,Сергеевич,ИПУ РАН,,Москва
6356,393,Крюков,Кирилл,Вячеславович,ИПУ РАН,,Москва
6357,610,Прохорова,Элла,Григорьевна,ИПУ РАН,,Москва
6358,611,Пульман,Михаил,Игоревич,ИПУ РАН,,Москва
6360,242,Душкин,Дмитрий,Николаевич,ИПУ РАН,,Москва
6362,278,Зобова,Александра,Александровна,ИПУ РАН,,Москва
6363,741,Трошина,Евгения,Евгеньевна,ИПУ РАН,,Москва
6364,753,Фархадов,Маис,Паша Оглы,ИПУ РАН,"2019;Automated Queuing Systems and Signal Processing Lab V.A. Trapeznikov Institute of Control Sciences Russian Academy of Sciences Moscow, 117997, Russia, 2019;Automated Queuing Systems and Signal Processing V.A. Trapeznikov Institute of Control Sciences of RAS, 2019;RAS, VA Trapeznikov Inst Control Sci, Profsouznaya 65, Moscow 117342, Russia, 2019;V. A. Trapeznikov Institute of Control Sciences of RAS, 2019;V. A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 2019;V.A. Trapeznikov Institute of Control Science, Moscow, 117997, Russian Federation, 2019;Wireless Technologies Lab, MIPT, 2019;Институт проблем управления РАН, 2019;Институт проблем управления РАН им. В. А. Трапезникова, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН, 2019;ФГБУН «Институт проблем управления им. В.А. Трапезникова» Российской академии наук, 2019;ФГБУН Институт проблем управления им. В.А. Трапезникова РАН, Москва",Москва
